Speed,Altitude,Distance,Direction,Acceleration,RadarSignature,TrajectoryAngle,ObjectType,ThreatLevel
125,722,9,Towards,6,2,39,Unknown,Unknown
2315,8969,52,Towards,9,3,77,Unknown,Unknown
1482,7720,52,Away,17,8,70,Missile,Unknown
2352,6405,55,Away,11,7,80,Missile,Unknown
100,274,80,Away,2,2,0,Drone,Unknown
74,295,54,Towards,2,1,18,Drone,Low
2175,11421,53,Away,15,5,84,Unknown,Unknown
1773,4879,19,Towards,12,7,35,Unknown,Unknown
250,2826,15,Towards,5,7,40,Helicopter,Medium
134,145,48,Away,1,2,27,Drone,Unknown
125,376,97,Away,3,2,20,Drone,Unknown
1418,10740,41,Away,14,6,90,Missile,Unknown
2627,8359,34,Away,12,5,85,Missile,Unknown
811,12806,60,Towards,10,10,66,Fighter,Medium
117,155,26,Towards,2,1,24,Drone,Low
1074,8212,34,Towards,12,9,49,Fighter,Critical
374,6679,95,Towards,2,7,52,Unknown,Unknown
1570,11627,30,Towards,13,6,71,Missile,Critical
753,9802,88,Away,6,8,47,Fighter,Medium
684,13143,87,Towards,11,4,8,Unknown,Unknown
181,1692,81,Away,2,6,31,Helicopter,Medium
91,143,61,Away,4,3,29,Drone,Unknown
207,922,32,Away,2,7,35,Helicopter,Medium
708,8850,81,Towards,7,10,48,Fighter,Medium
174,2434,71,Away,2,8,22,Helicopter,Medium
2459,14387,92,Away,2,9,72,Unknown,Unknown
92,492,57,Away,1,1,28,Drone,Unknown
160,1121,66,Away,4,5,28,Helicopter,Medium
1339,9272,6,Away,6,5,79,Unknown,Unknown
127,456,37,Towards,3,1,7,Drone,Low
1159,14545,80,Away,6,10,31,Fighter,Medium
2346,4167,20,Towards,13,7,76,Missile,Critical
238,2733,42,Towards,5,8,40,Helicopter,Medium
804,12436,75,Away,4,2,34,Unknown,Unknown
174,2891,28,Towards,3,6,28,Helicopter,Medium
2065,13701,78,Away,13,5,65,Unknown,Unknown
124,188,30,Away,3,1,13,Drone,Unknown
1104,14416,20,Towards,17,9,1,Unknown,Unknown
2352,3401,63,Towards,13,8,78,Missile,High
638,7838,63,Away,6,5,36,Unknown,Unknown
840,14517,11,Towards,11,9,64,Fighter,Medium
299,964,66,Towards,4,6,26,Helicopter,Medium
102,324,10,Towards,1,1,2,Drone,Low
53,423,62,Towards,2,3,12,Drone,Low
850,13003,5,Towards,9,9,32,Fighter,Medium
96,478,75,Away,2,3,28,Drone,Unknown
1400,10460,30,Away,12,7,75,Missile,Unknown
968,9596,8,Towards,7,7,32,Fighter,Critical
2231,3379,75,Away,11,6,88,Missile,Unknown
59,356,99,Towards,1,1,9,Drone,Low
2455,8504,50,Towards,14,9,26,Unknown,Unknown
2280,1662,5,Away,20,7,77,Missile,Unknown
327,10128,75,Towards,2,1,80,Unknown,Unknown
1464,5228,11,Away,8,3,34,Unknown,Unknown
2855,2223,100,Towards,20,8,86,Missile,High
1051,14677,34,Away,9,8,44,Fighter,Medium
152,2031,28,Towards,4,7,16,Helicopter,Medium
2080,5167,46,Towards,14,6,85,Missile,Critical
90,404,29,Away,3,1,8,Drone,Unknown
258,2168,80,Towards,4,7,35,Helicopter,Medium
82,338,9,Towards,3,3,3,Drone,Low
1259,9868,18,Away,9,9,81,Unknown,Unknown
209,2698,63,Towards,2,5,13,Helicopter,Medium
2863,8861,77,Away,20,7,86,Missile,Unknown
1075,9463,31,Away,11,8,69,Fighter,Medium
234,2996,46,Towards,4,8,18,Helicopter,Medium
57,178,80,Away,1,2,6,Drone,Unknown
1404,7193,65,Towards,17,6,79,Missile,High
982,12611,50,Away,7,7,35,Fighter,Medium
148,256,36,Towards,3,2,18,Drone,Low
67,491,80,Towards,4,1,0,Drone,Low
1817,7688,12,Away,13,4,80,Missile,Unknown
2029,1256,46,Towards,11,6,79,Missile,Critical
187,2366,30,Away,2,8,26,Helicopter,Medium
196,1818,85,Towards,2,6,36,Helicopter,Medium
241,599,19,Towards,4,7,12,Helicopter,Medium
2781,7530,48,Away,12,7,75,Missile,Unknown
257,6972,40,Away,16,2,62,Unknown,Unknown
112,485,47,Towards,2,2,3,Drone,Low
1035,13057,44,Towards,8,7,44,Fighter,Critical
174,804,11,Towards,5,8,28,Helicopter,Medium
1612,9909,55,Away,16,5,72,Missile,Unknown
269,592,63,Away,4,6,35,Helicopter,Medium
293,12330,61,Away,17,2,17,Unknown,Unknown
149,169,8,Away,3,2,0,Drone,Unknown
281,2600,94,Away,2,8,22,Helicopter,Medium
249,2441,56,Towards,5,8,18,Helicopter,Medium
963,13042,51,Away,6,7,60,Fighter,Medium
222,1131,43,Away,4,6,15,Helicopter,Medium
913,10551,27,Towards,7,10,54,Fighter,Critical
104,162,11,Towards,2,1,22,Drone,Low
1056,14257,63,Away,16,5,4,Unknown,Unknown
91,238,31,Towards,2,2,6,Drone,Low
94,168,79,Towards,3,3,3,Drone,Low
2996,3194,65,Towards,17,7,84,Missile,High
1773,9302,34,Away,15,6,84,Missile,Unknown
288,2412,31,Away,5,5,34,Helicopter,Medium
884,14893,79,Towards,9,8,56,Fighter,Medium
2790,7039,26,Away,14,6,84,Missile,Unknown
1619,5949,77,Towards,15,4,79,Missile,High
899,9270,80,Away,9,8,59,Fighter,Medium
265,845,62,Away,5,8,13,Helicopter,Medium
1309,8415,66,Towards,17,6,49,Unknown,Unknown
1792,8773,85,Towards,5,5,8,Unknown,Unknown
255,2760,95,Away,2,5,25,Helicopter,Medium
1000,8820,17,Towards,12,8,46,Fighter,Critical
1079,11384,86,Towards,8,7,55,Fighter,High
202,2599,20,Away,5,8,10,Helicopter,Medium
222,1000,57,Towards,2,6,26,Helicopter,Medium
245,2400,5,Towards,5,5,19,Helicopter,Medium
1869,2303,42,Towards,20,4,81,Missile,Critical
201,3417,39,Towards,19,6,30,Unknown,Unknown
1831,4516,76,Towards,19,2,85,Unknown,Unknown
196,951,44,Towards,4,7,33,Helicopter,Medium
292,657,39,Towards,2,5,17,Helicopter,Medium
211,2812,37,Towards,4,5,12,Helicopter,Medium
858,8927,47,Away,7,8,65,Fighter,Medium
2827,10308,85,Away,18,5,84,Missile,Unknown
1049,6415,54,Towards,15,1,12,Unknown,Unknown
2853,5755,39,Away,18,7,90,Missile,Unknown
225,2715,8,Towards,5,6,12,Helicopter,Medium
1092,8471,17,Away,11,2,74,Unknown,Unknown
262,3000,93,Towards,2,8,36,Helicopter,Medium
732,12247,94,Away,11,7,42,Fighter,Medium
1163,8523,44,Away,12,10,68,Fighter,Medium
84,441,23,Towards,3,3,7,Drone,Low
145,384,57,Away,1,2,25,Drone,Unknown
1090,12491,28,Towards,12,7,70,Fighter,Critical
1123,14223,57,Away,9,9,48,Fighter,Medium
122,397,47,Towards,3,3,15,Drone,Low
2069,5696,60,Away,8,4,21,Unknown,Unknown
872,8047,33,Towards,11,8,37,Fighter,Medium
811,10081,34,Towards,1,8,79,Unknown,Unknown
1200,10863,6,Away,6,8,40,Fighter,Medium
156,1583,97,Away,2,8,40,Helicopter,Medium
941,6667,96,Towards,17,5,88,Unknown,Unknown
722,10655,92,Towards,11,8,48,Fighter,Medium
963,8113,44,Away,9,10,53,Fighter,Medium
2318,4001,60,Towards,10,7,83,Missile,High
1015,13368,82,Away,7,7,64,Fighter,Medium
1986,580,15,Towards,11,5,76,Missile,Critical
746,4924,55,Towards,5,9,90,Unknown,Unknown
1749,6694,39,Away,14,4,78,Missile,Unknown
1415,4575,81,Away,17,8,89,Missile,Unknown
1174,11984,70,Away,7,8,32,Fighter,Medium
204,1671,23,Towards,3,7,40,Helicopter,Medium
2493,2211,36,Towards,17,8,86,Missile,Critical
225,1004,93,Away,4,5,15,Helicopter,Medium
2386,9613,64,Towards,7,7,81,Unknown,Unknown
136,172,61,Towards,1,3,19,Drone,Low
2406,5819,93,Towards,15,8,84,Missile,High
59,407,20,Towards,2,3,28,Drone,Low
1880,12114,23,Away,4,7,44,Unknown,Unknown
84,259,39,Towards,1,2,9,Drone,Low
206,2501,24,Away,4,7,33,Helicopter,Medium
197,1426,72,Away,2,5,28,Helicopter,Medium
932,7890,99,Away,9,2,43,Unknown,Unknown
2546,8996,82,Towards,16,7,89,Missile,High
297,2133,54,Towards,2,8,20,Helicopter,Medium
252,2280,67,Away,3,6,12,Helicopter,Medium
1912,14418,75,Away,15,1,61,Unknown,Unknown
1072,9788,6,Towards,6,9,54,Fighter,Critical
106,101,16,Away,2,2,2,Drone,Unknown
2666,2182,25,Towards,12,4,86,Missile,Critical
156,2778,45,Towards,5,5,13,Helicopter,Medium
213,854,57,Towards,4,7,38,Helicopter,Medium
939,10372,33,Away,7,7,55,Fighter,Medium
1062,9533,30,Towards,6,10,75,Unknown,Unknown
1450,9484,55,Away,8,8,58,Unknown,Unknown
2401,11915,10,Towards,9,4,19,Unknown,Unknown
82,407,94,Towards,2,1,8,Drone,Low
876,13889,99,Towards,11,10,32,Fighter,Medium
2865,4740,18,Away,19,4,87,Missile,Unknown
1874,10334,69,Towards,13,5,72,Missile,High
1117,11162,48,Towards,12,7,65,Unknown,Unknown
61,428,17,Towards,1,3,7,Drone,Low
77,176,20,Away,4,1,1,Drone,Unknown
2825,6395,42,Towards,18,6,88,Missile,Critical
177,2672,8,Towards,5,8,23,Helicopter,Medium
1126,8291,75,Away,9,9,34,Fighter,Medium
147,408,26,Towards,1,2,22,Drone,Low
2385,4507,86,Away,20,8,71,Missile,Unknown
1818,4904,61,Towards,13,5,86,Missile,High
2117,10871,59,Towards,18,2,41,Unknown,Unknown
263,1930,57,Towards,4,5,18,Helicopter,Medium
2760,11841,6,Away,15,8,73,Missile,Unknown
285,2833,26,Towards,4,7,17,Helicopter,Medium
2743,7597,77,Towards,20,7,77,Missile,High
102,312,66,Away,4,2,21,Drone,Unknown
118,417,59,Away,2,2,28,Drone,Unknown
1629,3360,36,Away,14,5,82,Unknown,Unknown
281,2435,45,Away,4,7,12,Helicopter,Medium
886,9778,34,Away,8,9,62,Fighter,Medium
747,9126,47,Towards,11,7,31,Fighter,Medium
911,13306,71,Towards,8,10,64,Fighter,High
705,13258,23,Towards,8,8,46,Fighter,Medium
280,2871,100,Away,5,7,27,Helicopter,Medium
1736,9675,70,Away,15,6,78,Missile,Unknown
576,2246,87,Towards,15,2,86,Unknown,Unknown
87,309,55,Away,1,1,0,Drone,Unknown
1726,6314,82,Away,12,5,80,Missile,Unknown
1491,12703,21,Away,10,1,64,Unknown,Unknown
108,191,36,Away,3,1,25,Drone,Unknown
2948,4205,97,Towards,14,6,90,Missile,High
1609,10812,14,Towards,19,5,89,Missile,Critical
931,13648,26,Away,12,7,48,Fighter,Medium
231,2908,37,Away,2,5,21,Helicopter,Medium
290,2144,76,Towards,4,8,40,Helicopter,Medium
256,2542,39,Towards,5,5,25,Helicopter,Medium
1181,8139,36,Away,8,10,59,Fighter,Medium
1368,4339,30,Towards,14,5,65,Unknown,Unknown
926,9100,77,Towards,12,7,46,Fighter,High
101,483,79,Towards,2,2,17,Drone,Low
956,257,18,Away,4,10,73,Unknown,Unknown
182,2787,11,Towards,3,6,39,Helicopter,Medium
144,366,11,Towards,2,2,20,Drone,Low
979,13894,45,Towards,8,9,35,Fighter,Critical
1278,7954,98,Away,7,10,82,Unknown,Unknown
1721,12224,65,Towards,6,5,49,Unknown,Unknown
236,1072,17,Away,4,5,10,Helicopter,Medium
2201,4113,73,Away,5,3,32,Unknown,Unknown
1413,12563,36,Away,17,1,27,Unknown,Unknown
1038,9060,86,Away,8,9,54,Fighter,Medium
299,1435,35,Towards,3,5,18,Helicopter,Medium
242,585,21,Towards,2,8,23,Helicopter,Medium
108,355,54,Towards,2,2,8,Drone,Low
282,1154,60,Towards,2,6,13,Helicopter,Medium
820,11698,80,Away,12,7,63,Fighter,Medium
2160,7592,65,Away,16,7,89,Missile,Unknown
2205,11731,54,Away,11,5,78,Missile,Unknown
1290,7596,33,Towards,13,8,73,Missile,Critical
1716,8126,57,Away,12,6,88,Missile,Unknown
2305,5659,11,Away,13,2,84,Unknown,Unknown
2037,4127,88,Towards,15,4,70,Missile,High
160,1612,32,Towards,5,7,37,Helicopter,Medium
739,4212,62,Towards,6,7,37,Unknown,Unknown
866,12308,43,Towards,9,8,32,Fighter,Medium
713,10638,40,Away,9,8,32,Fighter,Medium
247,946,10,Towards,2,5,16,Helicopter,Medium
140,230,95,Away,3,2,10,Drone,Unknown
142,468,97,Towards,3,3,0,Drone,Low
2448,2624,38,Away,17,8,90,Missile,Unknown
1729,9143,92,Away,12,6,84,Missile,Unknown
2499,7699,28,Towards,11,6,87,Missile,Critical
899,13355,51,Towards,8,7,54,Fighter,Medium
1043,11572,40,Towards,10,4,40,Unknown,Unknown
249,1406,54,Away,5,6,33,Helicopter,Medium
2673,7937,12,Away,19,5,83,Missile,Unknown
879,13363,95,Away,12,9,62,Fighter,Medium
268,2927,25,Away,4,7,37,Helicopter,Medium
984,14625,32,Away,10,9,60,Fighter,Medium
243,2523,81,Away,5,5,18,Helicopter,Medium
68,333,30,Away,2,2,23,Drone,Unknown
134,356,86,Away,4,2,16,Drone,Unknown
68,355,53,Away,4,3,29,Drone,Unknown
133,331,99,Away,4,1,10,Drone,Unknown
2339,8336,96,Towards,20,9,81,Unknown,Unknown
1222,6633,97,Away,11,6,85,Missile,Unknown
2449,6434,69,Towards,16,8,83,Missile,High
2276,8823,47,Away,10,5,80,Missile,Unknown
2843,5982,23,Away,13,8,79,Missile,Unknown
2944,1074,47,Towards,13,7,78,Missile,Critical
2952,2500,21,Towards,16,6,83,Missile,Critical
135,123,76,Towards,1,1,17,Drone,Low
1865,3725,99,Towards,15,6,2,Unknown,Unknown
1882,905,26,Away,4,6,25,Unknown,Unknown
59,292,70,Towards,2,2,21,Drone,Low
722,6351,9,Away,4,2,12,Unknown,Unknown
152,584,40,Away,4,6,33,Helicopter,Medium
1302,8368,37,Towards,2,6,27,Unknown,Unknown
2030,4958,54,Away,10,7,81,Missile,Unknown
844,12933,73,Away,12,9,53,Fighter,Medium
735,12519,80,Towards,18,3,59,Unknown,Unknown
287,1167,80,Away,5,5,39,Helicopter,Medium
89,158,69,Towards,3,3,9,Drone,Low
801,12182,85,Towards,7,9,36,Fighter,Medium
299,1695,93,Away,2,7,32,Helicopter,Medium
150,350,60,Away,4,2,17,Drone,Unknown
775,12532,40,Away,11,8,39,Fighter,Medium
1354,7642,65,Away,10,6,82,Missile,Unknown
755,9609,17,Away,8,7,33,Fighter,Medium
1118,13111,16,Away,11,10,38,Fighter,Medium
59,14243,85,Towards,2,4,48,Unknown,Unknown
2399,2172,33,Away,9,3,46,Unknown,Unknown
2795,1921,41,Towards,15,5,72,Missile,Critical
78,325,28,Towards,4,2,5,Drone,Low
299,2336,54,Away,2,8,32,Helicopter,Medium
266,1276,62,Towards,5,5,11,Helicopter,Medium
147,186,89,Away,4,3,28,Drone,Unknown
1229,11281,62,Away,16,5,72,Missile,Unknown
2231,7771,88,Away,8,5,8,Unknown,Unknown
188,1445,42,Towards,3,8,10,Helicopter,Medium
997,8993,48,Towards,7,9,38,Fighter,Critical
55,136,19,Away,4,1,13,Drone,Unknown
873,8270,23,Away,10,7,68,Fighter,Medium
2736,7273,66,Towards,19,4,80,Missile,High
2538,9440,5,Towards,18,7,75,Missile,Critical
165,1615,5,Away,2,7,18,Helicopter,Medium
1080,11943,21,Towards,12,9,65,Fighter,Critical
157,2558,57,Away,3,7,40,Helicopter,Medium
96,185,56,Away,1,1,26,Drone,Unknown
1647,1487,58,Towards,16,8,90,Missile,High
143,13957,6,Away,13,8,23,Unknown,Unknown
2297,3912,92,Towards,1,7,22,Unknown,Unknown
972,14214,99,Towards,10,7,30,Fighter,High
1256,11553,43,Towards,12,4,86,Missile,Critical
53,326,100,Away,2,2,11,Drone,Unknown
1180,6706,68,Away,11,1,55,Unknown,Unknown
198,596,32,Towards,3,7,10,Helicopter,Medium
825,14056,28,Towards,7,8,52,Fighter,Medium
2006,8433,10,Towards,14,7,89,Missile,Critical
961,11475,44,Towards,9,8,45,Fighter,Critical
816,9524,91,Towards,11,9,30,Fighter,Medium
98,254,20,Towards,2,3,7,Drone,Low
973,9207,65,Towards,11,10,32,Fighter,High
1520,14212,93,Towards,2,7,68,Unknown,Unknown
1739,4392,94,Towards,10,4,71,Missile,High
131,300,46,Away,4,1,28,Drone,Unknown
1694,7487,79,Towards,20,7,71,Missile,High
87,178,87,Away,3,3,17,Drone,Unknown
193,1269,91,Away,4,8,37,Helicopter,Medium
239,2899,56,Towards,5,5,35,Helicopter,Medium
1837,14666,59,Towards,5,4,66,Unknown,Unknown
335,3263,39,Away,1,2,32,Unknown,Unknown
124,107,94,Towards,3,1,12,Drone,Low
1132,12979,28,Towards,8,7,41,Fighter,Critical
92,410,62,Towards,2,1,13,Drone,Low
834,10093,71,Towards,11,7,46,Fighter,Medium
156,2120,73,Towards,2,5,26,Helicopter,Medium
1026,14373,88,Towards,9,8,66,Fighter,High
1925,6551,22,Towards,16,5,81,Missile,Critical
869,9537,22,Away,5,4,69,Unknown,Unknown
300,2527,7,Towards,2,7,19,Helicopter,Medium
55,497,13,Towards,3,1,17,Drone,Low
1034,9892,96,Towards,8,8,65,Fighter,High
83,405,24,Away,4,3,8,Drone,Unknown
1258,5139,97,Away,19,5,87,Missile,Unknown
2471,2858,39,Away,13,5,89,Missile,Unknown
279,555,22,Towards,5,6,10,Helicopter,Medium
306,13817,38,Away,20,1,4,Unknown,Unknown
139,412,65,Towards,3,1,20,Drone,Low
2467,9820,82,Towards,13,8,74,Missile,High
1968,13316,61,Away,1,10,21,Unknown,Unknown
1380,7455,66,Away,19,5,75,Missile,Unknown
1397,12620,98,Away,18,10,55,Unknown,Unknown
165,1630,91,Away,2,7,15,Helicopter,Medium
206,1770,81,Towards,5,6,38,Helicopter,Medium
93,171,58,Away,2,2,8,Drone,Unknown
139,413,18,Towards,1,1,17,Drone,Low
1805,6335,25,Away,16,7,86,Missile,Unknown
291,1828,99,Away,2,7,27,Helicopter,Medium
2072,8284,54,Away,15,8,87,Missile,Unknown
2364,2757,69,Away,2,8,74,Unknown,Unknown
1363,10248,31,Away,5,1,1,Unknown,Unknown
1480,4382,91,Away,9,10,23,Unknown,Unknown
263,2786,42,Towards,5,8,17,Helicopter,Medium
1999,13741,60,Away,19,6,4,Unknown,Unknown
965,10191,46,Towards,8,10,62,Fighter,Critical
203,2893,22,Towards,4,6,20,Helicopter,Medium
1768,5081,7,Away,13,7,78,Missile,Unknown
272,1470,27,Towards,4,8,21,Helicopter,Medium
160,2281,45,Away,2,5,32,Helicopter,Medium
136,212,13,Away,1,3,3,Drone,Unknown
170,2626,14,Away,4,6,17,Helicopter,Medium
1669,1086,98,Towards,20,5,76,Unknown,Unknown
248,2490,35,Towards,3,8,35,Helicopter,Medium
1582,13381,17,Towards,20,3,59,Unknown,Unknown
1089,10494,15,Away,10,9,67,Fighter,Medium
88,174,45,Towards,3,3,14,Drone,Low
2334,709,94,Towards,17,6,75,Missile,High
2386,10962,16,Towards,6,3,61,Unknown,Unknown
60,466,76,Towards,1,1,13,Drone,Low
256,1860,12,Away,3,5,12,Helicopter,Medium
272,2492,28,Towards,5,8,36,Helicopter,Medium
63,212,16,Towards,2,1,13,Drone,Low
179,1528,95,Away,5,8,16,Helicopter,Medium
113,255,97,Towards,4,1,2,Drone,Low
2913,4083,88,Towards,15,6,77,Missile,High
1698,1886,83,Away,20,5,71,Missile,Unknown
1631,5892,38,Towards,11,10,39,Unknown,Unknown
1321,6051,100,Towards,18,8,79,Missile,High
254,1169,29,Towards,5,5,30,Helicopter,Medium
792,827,87,Towards,18,9,10,Unknown,Unknown
2998,8400,41,Towards,16,5,72,Missile,Critical
1360,4843,61,Towards,13,8,81,Missile,High
712,13877,75,Towards,6,7,64,Fighter,Medium
264,2204,21,Away,2,5,10,Helicopter,Medium
1056,12610,8,Towards,11,8,34,Fighter,Critical
1009,10642,28,Towards,11,9,65,Fighter,Critical
1572,9684,19,Away,16,4,83,Missile,Unknown
1997,2509,30,Towards,13,8,82,Missile,Critical
2108,1912,68,Away,19,5,3,Unknown,Unknown
1333,1034,84,Towards,11,8,74,Missile,High
2003,6775,40,Towards,18,6,51,Unknown,Unknown
824,9834,98,Away,9,9,63,Fighter,Medium
93,230,41,Towards,3,1,24,Drone,Low
260,1680,26,Away,5,8,20,Helicopter,Medium
1967,4091,59,Away,17,5,77,Missile,Unknown
270,802,73,Away,2,6,27,Helicopter,Medium
1928,7689,36,Towards,9,1,21,Unknown,Unknown
2862,1318,73,Away,12,8,75,Missile,Unknown
251,2714,65,Towards,5,7,36,Helicopter,Medium
914,13570,37,Towards,10,8,61,Fighter,Critical
82,180,87,Away,4,1,10,Drone,Unknown
999,1791,24,Away,6,7,81,Unknown,Unknown
2054,10489,100,Towards,1,3,29,Unknown,Unknown
1987,189,40,Towards,13,4,67,Unknown,Unknown
144,340,5,Towards,4,3,28,Drone,Low
731,11177,66,Towards,7,8,30,Fighter,Medium
1948,1412,46,Away,9,6,41,Unknown,Unknown
276,1113,39,Towards,2,6,34,Helicopter,Medium
1925,10661,15,Away,6,10,50,Unknown,Unknown
141,147,12,Towards,4,3,29,Drone,Low
150,437,84,Towards,2,3,16,Drone,Low
50,215,48,Away,1,3,27,Drone,Unknown
98,274,5,Towards,2,3,14,Drone,Low
971,13050,94,Away,8,10,43,Fighter,Medium
1134,1951,93,Away,9,6,17,Unknown,Unknown
1942,6273,10,Away,11,5,89,Missile,Unknown
221,1387,51,Towards,4,8,14,Helicopter,Medium
174,1858,75,Away,2,8,24,Helicopter,Medium
194,2680,7,Towards,2,6,23,Helicopter,Medium
2012,2366,35,Away,13,8,82,Unknown,Unknown
2852,3790,52,Towards,10,7,71,Missile,High
1020,3359,94,Towards,4,7,28,Unknown,Unknown
387,4940,77,Towards,12,3,65,Unknown,Unknown
1060,12262,43,Towards,6,10,63,Fighter,Critical
2276,7020,25,Towards,18,8,19,Unknown,Unknown
1226,14356,54,Towards,12,8,35,Unknown,Unknown
102,309,40,Away,3,2,9,Drone,Unknown
1123,7583,29,Towards,9,6,0,Unknown,Unknown
2178,10451,90,Towards,14,5,84,Missile,High
857,11484,68,Towards,12,10,55,Fighter,Medium
1060,9807,27,Away,8,8,56,Fighter,Medium
121,151,99,Away,2,2,29,Drone,Unknown
1057,12474,54,Towards,10,9,48,Fighter,High
187,1937,13,Away,3,5,21,Helicopter,Medium
176,1150,16,Towards,3,7,35,Helicopter,Medium
86,379,41,Away,4,3,1,Drone,Unknown
658,516,78,Towards,5,8,5,Unknown,Unknown
1122,4576,42,Away,3,8,4,Unknown,Unknown
125,216,22,Away,4,1,21,Drone,Unknown
800,4922,13,Towards,14,5,66,Unknown,Unknown
2997,9259,29,Towards,16,8,73,Missile,Critical
938,7345,92,Away,9,4,29,Unknown,Unknown
78,248,27,Away,1,2,25,Drone,Unknown
249,3757,59,Towards,10,1,37,Unknown,Unknown
121,282,92,Away,1,3,6,Drone,Unknown
281,544,29,Towards,3,6,19,Helicopter,Medium
145,397,33,Towards,1,2,12,Drone,Low
1992,8062,97,Towards,3,1,48,Unknown,Unknown
243,1809,59,Towards,5,6,21,Helicopter,Medium
753,9906,26,Away,11,8,32,Fighter,Medium
449,2256,75,Towards,4,5,9,Unknown,Unknown
94,205,61,Towards,3,3,3,Drone,Low
870,8655,42,Towards,11,8,69,Fighter,Medium
196,1810,60,Away,5,7,32,Helicopter,Medium
2495,10332,40,Towards,12,5,78,Missile,Critical
181,516,50,Away,4,8,14,Helicopter,Medium
138,310,35,Towards,1,1,14,Drone,Low
230,2466,41,Towards,4,5,26,Helicopter,Medium
88,153,48,Away,4,2,8,Drone,Unknown
56,224,64,Towards,1,1,7,Drone,Low
819,9264,13,Away,8,9,45,Fighter,Medium
1168,11266,72,Towards,9,7,47,Fighter,High
1478,2798,17,Towards,18,8,78,Missile,Critical
2166,414,79,Away,1,4,88,Unknown,Unknown
80,194,9,Away,4,3,24,Drone,Unknown
